,rating
56844,5.0
67941,5.0
11324,3.0
44609,5.0
74376,4.0
44391,4.0
7605,5.0
27037,4.0
36635,3.0
33518,5.0
69725,2.0
4542,2.0
50222,2.0
33193,5.0
59075,4.0
84840,4.0
71903,2.0
23082,3.0
43939,3.0
89385,3.0
7403,4.0
30928,3.0
33290,2.0
57499,4.0
33456,3.0
47227,5.0
1514,3.0
74387,4.0
61402,2.0
4061,4.0
32994,4.0
81707,2.0
59642,3.0
24055,4.0
47254,2.0
43309,3.0
72277,4.0
75346,5.0
11940,1.0
42444,3.0
58802,4.0
64195,4.0
19856,5.0
19834,4.0
68004,4.0
24128,5.0
80597,4.0
86678,4.0
85476,4.0
6989,4.0
16858,3.0
38256,4.0
5682,4.0
14614,3.0
9833,2.0
64358,4.0
63826,4.0
12454,3.0
65845,5.0
82647,3.0
16894,5.0
43953,4.0
32048,5.0
2797,5.0
80424,5.0
38691,3.0
43152,4.0
23589,3.0
18993,5.0
82178,4.0
6559,4.0
7351,3.0
57468,5.0
78496,4.0
61142,3.0
88827,3.0
65914,4.0
33918,4.0
10533,3.0
42284,4.0
49571,5.0
10301,2.0
10476,5.0
87399,3.0
61876,3.0
16357,1.0
57935,5.0
62200,5.0
62388,3.0
77990,3.0
59417,5.0
26551,4.0
40300,4.0
78718,5.0
56392,4.0
71347,4.0
67474,4.0
30447,5.0
85644,4.0
85603,4.0
70842,4.0
63392,4.0
50614,5.0
36586,2.0
74109,2.0
4601,3.0
60328,4.0
34591,4.0
59003,4.0
48715,2.0
85792,3.0
47941,4.0
55211,2.0
87645,5.0
46696,4.0
14675,1.0
33288,5.0
20889,4.0
64573,3.0
38758,1.0
46907,5.0
32507,5.0
7327,3.0
28200,4.0
76990,3.0
40308,4.0
55261,2.0
75797,1.0
80819,4.0
66840,4.0
43800,5.0
66141,4.0
70905,1.0
85138,5.0
72816,3.0
64349,4.0
36572,4.0
11842,2.0
21080,5.0
88600,4.0
50663,3.0
56925,1.0
72189,5.0
3821,5.0
58922,3.0
83600,3.0
68159,5.0
53917,5.0
58108,1.0
33408,5.0
6161,4.0
50276,3.0
33008,1.0
81891,5.0
5176,3.0
73698,5.0
22813,3.0
57361,5.0
807,3.0
53117,1.0
68419,5.0
22833,5.0
8465,5.0
87756,4.0
47904,5.0
82087,4.0
67384,3.0
50221,3.0
62981,3.0
15021,4.0
78285,4.0
74449,2.0
42019,2.0
79501,4.0
35390,5.0
72246,4.0
82439,3.0
77662,3.0
41408,5.0
20578,4.0
61443,5.0
17857,5.0
18175,5.0
16493,5.0
41394,5.0
50612,5.0
71823,4.0
7477,5.0
62965,4.0
25137,5.0
62134,1.0
38098,3.0
19116,4.0
3882,3.0
22450,5.0
76838,3.0
70601,5.0
42276,4.0
63453,4.0
26238,5.0
14811,4.0
19038,4.0
53089,5.0
44047,5.0
80857,3.0
34842,5.0
83740,5.0
29468,3.0
35713,4.0
32061,5.0
32091,5.0
17319,5.0
82776,5.0
6709,3.0
36928,3.0
89575,5.0
11462,3.0
5956,1.0
20199,3.0
42110,2.0
2199,3.0
49569,3.0
29502,1.0
75542,2.0
29980,2.0
48473,1.0
256,3.0
81085,2.0
81775,5.0
43972,4.0
84543,1.0
5333,1.0
34400,5.0
4931,1.0
62255,4.0
19250,5.0
61395,3.0
12259,3.0
41025,5.0
59893,4.0
67347,5.0
75971,4.0
67621,4.0
3536,3.0
22899,2.0
46934,3.0
31933,5.0
63861,5.0
54444,5.0
71262,5.0
58324,5.0
49306,4.0
8932,5.0
89457,3.0
1544,4.0
74023,5.0
53717,4.0
73056,4.0
22191,4.0
21562,1.0
87777,3.0
44672,3.0
62936,3.0
81105,3.0
87920,1.0
28676,3.0
80641,3.0
81193,3.0
37842,3.0
84811,3.0
13825,3.0
