,user id,movie id,age,occupation,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating
75787,693,1135,43,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.0
79511,735,127,29,7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.0
12268,116,306,40,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0
79548,735,764,29,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
72033,655,258,50,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0
71891,655,36,50,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0
75696,693,210,43,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
71870,655,8,50,7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
12350,116,1254,40,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
96787,910,1,28,7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
72439,655,1186,50,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
72496,655,1445,50,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
45091,405,807,22,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
72417,655,1136,50,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
45340,405,1564,22,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
44763,405,208,22,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
86598,807,1050,41,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5.0
45365,405,1589,22,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
72325,655,906,50,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0
16104,164,407,47,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
75687,693,187,43,7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0
44322,401,25,46,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
86514,807,423,41,7,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5.0
72410,655,1118,50,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
45071,405,780,22,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
79523,735,285,29,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
72396,655,1086,50,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
44415,401,482,46,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
6427,60,172,50,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,4.0
72517,655,1560,50,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
45179,405,1103,22,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
16367,170,323,53,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
45287,405,1437,22,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
