,user id,movie id,age,occupation,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating
73160,661,298,28,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0
92013,870,569,22,18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0
27296,273,305,50,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
98749,932,429,58,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.0
17112,178,866,26,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
52850,466,288,22,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0
34642,321,20,49,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0
25214,256,288,35,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.0
90658,858,100,63,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3.0
70420,643,423,39,17,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4.0
36634,334,877,32,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
3319,22,526,25,20,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
18883,194,274,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0
9690,92,164,32,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0
27545,276,92,21,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
92051,870,722,22,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
84001,787,691,18,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4.0
6042,59,83,49,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
76413,700,181,17,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5.0
27506,276,42,21,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
33065,310,258,37,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0
30322,293,956,24,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
2074,13,569,47,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0
23095,234,609,60,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
8294,82,479,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0
54577,484,265,27,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0
