,rating
56827,3.0
39406,1.0
60690,4.0
2461,2.0
79457,3.0
44835,3.0
20944,1.0
84180,3.0
64285,1.0
16151,3.0
67717,2.0
68834,1.0
88830,4.0
43914,1.0
32031,1.0
70980,4.0
64827,5.0
45913,3.0
26108,1.0
72047,4.0
64275,4.0
34645,5.0
67690,1.0
56912,3.0
45283,1.0
54464,1.0
75299,1.0
21810,4.0
25419,4.0
44480,1.0
88064,5.0
9285,1.0
72655,3.0
84382,4.0
60106,1.0
55646,1.0
29249,3.0
59951,1.0
83471,1.0
30066,3.0
21256,3.0
16596,4.0
77841,4.0
26393,1.0
17521,2.0
2765,3.0
56472,3.0
35124,2.0
57248,3.0
78321,4.0
40146,1.0
88853,1.0
3887,1.0
2138,4.0
43845,4.0
61475,4.0
68335,4.0
5645,1.0
77256,2.0
43074,1.0
78354,4.0
50235,5.0
58549,4.0
53193,1.0
67326,3.0
85372,1.0
89151,4.0
47448,4.0
41971,2.0
69922,3.0
72151,2.5
64067,3.0
39923,1.0
88672,1.0
20657,3.0
86958,4.0
11035,1.0
18768,1.0
59758,2.0
22107,4.0
65624,3.0
45900,4.0
41068,4.0
88358,4.0
7519,3.0
89651,1.0
33541,1.0
73012,1.0
89510,4.0
49194,1.0
5513,4.0
81304,1.0
7242,5.0
2258,1.0
34165,3.0
26360,4.0
30854,3.0
43140,4.0
84271,5.0
65466,3.0
21715,4.0
77810,4.0
62115,3.0
84375,4.0
27933,3.0
62227,4.0
35432,4.0
18799,4.0
65875,3.0
86623,3.0
70810,3.0
10159,3.0
27960,2.0
86097,4.0
72959,4.0
71466,2.0
75959,4.0
70135,4.0
43191,4.0
71861,4.0
3527,3.0
14430,2.0
53,2.0
42457,4.0
24355,4.0
28839,3.0
28823,4.0
43053,3.0
48941,5.0
62946,3.0
63913,5.0
71707,2.0
774,2.0
76166,3.0
51007,3.0
88528,2.0
89494,4.0
73241,4.0
8905,3.0
36326,5.0
63697,4.0
37339,3.0
6076,2.0
48733,4.0
16511,5.0
22163,3.0
47763,3.0
51511,5.0
21430,5.0
30053,5.0
76869,2.0
71829,3.0
29208,3.0
61540,2.0
49029,3.0
39172,5.0
51725,2.0
14419,4.0
5553,2.0
65307,2.0
45909,5.0
37867,3.0
21463,1.0
72275,3.0
51920,3.0
40270,4.0
76421,4.0
24147,5.0
89526,3.0
65357,2.0
18290,4.0
72117,4.0
88812,3.0
14382,1.0
47137,2.0
30274,4.0
37255,5.0
28347,4.0
50834,3.0
88489,2.0
29341,3.0
5222,3.0
13265,4.0
42515,2.0
37850,2.0
49254,3.0
40284,5.0
50736,4.0
78000,4.0
42038,3.0
21490,3.0
84750,3.0
75711,2.0
2702,3.0
5705,4.0
28184,4.0
45889,3.0
69931,4.0
27604,3.0
3231,3.0
7343,4.0
14203,5.0
1881,4.0
89172,3.0
9953,3.0
44815,2.0
31266,2.0
33356,3.0
67504,4.0
68337,5.0
69436,1.0
58947,3.0
12707,4.0
80685,2.0
58389,2.0
33767,2.0
82728,3.0
54448,4.0
57362,3.0
44469,3.0
56057,5.0
34250,2.0
74371,4.0
74648,2.0
31643,3.0
74070,4.0
38892,4.0
4808,3.0
12333,4.0
26907,3.0
19658,4.0
30434,3.0
26068,4.0
25966,5.0
33865,3.0
58102,4.0
79711,2.0
7427,3.0
12696,3.0
69648,2.0
79706,4.0
7420,4.0
7436,2.0
6855,3.0
26983,4.0
38930,3.0
67056,2.0
55140,3.0
7168,3.0
59834,3.0
52467,2.0
74183,1.0
66236,3.0
16919,3.0
6618,4.0
11903,4.0
66932,4.0
26058,3.0
81745,4.0
59729,5.0
69393,3.0
34446,4.0
58491,3.0
14724,4.0
88101,4.0
2146,2.0
12135,3.0
31375,3.0
1522,3.0
87943,3.0
27552,3.0
45008,3.0
44974,1.0
33728,2.0
78854,2.0
67579,4.0
6529,2.0
33722,4.0
68134,4.0
164,5.0
59232,3.0
33738,4.0
60700,5.0
44175,5.0
54090,4.0
69527,4.0
88958,3.0
14886,3.0
81136,5.0
32804,3.0
11884,2.0
9564,4.0
68954,2.0
58058,4.0
34156,4.0
22547,4.0
56580,1.0
67833,5.0
43533,2.0
55354,2.0
69207,3.0
38,5.0
38741,2.0
26496,3.0
40033,5.0
63746,5.0
64035,3.0
11744,3.0
57117,3.0
18552,5.0
80768,1.0
71230,4.0
22001,1.0
78996,5.0
52972,3.0
77926,5.0
64592,4.0
5042,4.0
67423,4.0
69278,2.0
48858,4.0
17352,4.0
23998,2.0
67059,4.0
25406,2.0
38933,4.0
3145,2.0
19816,5.0
60410,5.0
65476,2.0
61076,4.0
32493,3.0
10627,5.0
42667,5.0
35615,5.0
76108,4.0
31489,5.0
11403,4.0
8441,4.0
47729,3.0
20494,1.0
9127,3.0
16780,3.0
10169,2.0
26188,1.0
8440,2.0
19314,3.0
39686,3.0
14994,5.0
33946,3.0
59914,4.0
30106,3.0
62877,5.0
62619,4.0
80063,5.0
7575,3.0
58337,1.0
21841,3.0
56947,4.0
23042,5.0
39746,4.0
67188,5.0
11764,4.0
27932,2.0
30075,3.0
31753,4.0
53937,5.0
16536,5.0
21676,3.0
5388,4.0
25178,4.0
66429,4.0
76988,3.0
43664,5.0
77812,4.0
19427,5.0
24454,5.0
46823,5.0
39944,3.0
47988,4.0
1429,4.0
83535,2.0
65495,3.0
40468,4.0
71957,4.0
1185,5.0
20403,2.0
14301,4.0
1989,4.0
8842,2.0
31016,5.0
31114,5.0
61596,4.0
72735,1.0
852,3.0
61233,4.0
68805,4.0
68616,3.0
76996,4.0
78132,4.0
63521,5.0
79054,2.0
18617,3.0
40040,5.0
56051,4.0
51649,4.0
54397,3.0
83486,5.0
7632,4.0
37382,5.0
63851,5.0
29555,5.0
31866,4.0
59892,5.0
3540,3.0
15876,3.0
5910,5.0
63914,4.0
71303,5.0
45970,3.0
10785,5.0
57807,3.0
41924,3.0
55793,5.0
30873,3.0
40094,4.0
46034,5.0
396,2.0
62904,5.0
80103,5.0
28469,5.0
68480,4.0
20222,3.0
1858,4.0
32055,4.0
2402,5.0
28686,5.0
49422,4.0
19400,3.0
51497,4.0
52379,5.0
40574,4.0
7081,3.0
71425,4.0
85893,3.0
58214,3.0
2750,5.0
56578,5.0
54854,2.0
86837,4.0
35546,3.0
43235,2.0
41775,4.0
22678,4.0
78220,4.0
36725,2.0
5072,4.0
63656,4.0
31915,5.0
56842,3.0
77508,3.0
38878,3.0
43868,5.0
35389,3.0
54609,3.0
83076,5.0
83539,3.0
74790,4.0
71894,1.0
10503,4.0
81815,3.0
17374,5.0
69082,5.0
18373,4.0
9695,4.0
38360,5.0
47893,3.0
29121,4.0
20585,4.0
76925,5.0
78038,3.0
41642,4.0
63230,4.0
3438,4.0
30080,3.0
71875,2.0
41471,4.0
60329,3.0
48527,4.0
50847,2.0
31667,3.0
47592,5.0
52959,4.0
42007,4.0
957,4.0
45814,3.0
53239,4.0
82945,4.0
60288,1.0
40856,5.0
9054,3.0
30837,5.0
52845,5.0
24983,3.0
71745,3.0
52775,5.0
58299,4.0
37387,4.0
35051,4.0
63395,5.0
53125,4.0
63060,3.0
12463,3.0
9811,3.0
15058,4.0
8881,3.0
219,4.0
17784,2.0
25525,5.0
24037,1.0
23203,3.0
68195,3.0
18786,4.0
89319,4.0
77227,4.0
61607,4.0
10297,5.0
80927,2.0
60144,5.0
54719,2.0
47208,4.0
71020,5.0
88799,3.0
11983,3.0
78486,4.0
21019,4.0
46206,5.0
32317,5.0
77889,1.0
41517,5.0
8175,3.0
22707,4.0
82570,4.0
34486,4.0
21303,3.0
1446,3.0
35958,3.0
78644,3.0
35962,3.0
67482,1.0
15949,1.0
85869,5.0
6615,4.0
27383,4.0
49353,5.0
33878,4.0
57599,1.0
61821,4.0
8068,5.0
37865,4.0
4437,4.0
705,4.0
52282,4.0
28577,5.0
223,4.0
12027,3.0
42889,2.0
37630,5.0
70763,3.0
46886,4.0
18365,5.0
70833,5.0
66756,3.0
50199,4.0
64370,1.0
26841,2.0
10249,3.0
84471,4.0
570,3.0
356,4.0
69083,3.0
88360,3.0
68909,3.0
23322,4.0
53920,4.0
57331,5.0
29752,4.0
8145,4.0
66072,1.0
59140,2.0
12716,4.0
88418,4.0
19746,4.0
28726,3.0
65106,4.0
38070,4.0
74851,3.0
89061,4.0
49183,5.0
21270,3.0
51753,3.0
56452,4.0
39661,3.0
73581,4.0
56457,4.0
4321,3.0
38735,3.0
55055,4.0
76767,3.0
70515,5.0
25803,2.0
1474,3.0
47456,4.0
50722,3.0
79584,3.0
19806,5.0
27566,4.0
53504,3.0
13479,4.0
61071,1.0
59761,4.0
72309,3.0
44734,5.0
71223,3.0
44372,2.0
79589,4.0
83982,2.0
50809,2.0
46339,3.0
43814,2.0
67220,1.0
85015,2.0
45990,4.0
26231,5.0
85330,4.0
84969,3.0
48203,2.0
13408,2.0
45852,5.0
7278,3.0
38212,2.0
79042,1.0
74065,3.0
41256,1.0
63363,5.0
15495,4.0
23567,3.0
54098,4.0
40767,1.0
53883,4.0
88999,4.0
53359,3.0
65841,4.0
54228,2.0
82554,2.0
40554,5.0
3409,5.0
14638,5.0
10018,3.0
31058,2.0
2119,5.0
3601,5.0
50164,4.0
55165,2.0
14003,2.0
7310,3.0
5196,4.0
10054,4.0
86643,4.0
81539,3.0
85048,4.0
42660,3.0
70253,3.0
85383,2.0
18444,2.0
25217,4.0
16985,4.0
27073,3.0
17895,2.0
39191,4.0
23596,4.0
53429,5.0
29128,3.0
61503,4.0
27202,4.0
49405,4.0
8352,2.0
45211,2.0
84733,4.0
36368,3.0
18564,4.0
31306,4.0
4370,3.0
15282,3.0
28147,5.0
49132,5.0
45195,4.0
35359,2.0
44761,3.0
3297,3.0
54944,4.0
4139,3.0
79739,4.0
59716,4.0
48684,4.0
36311,2.0
24108,2.0
38879,3.0
61813,3.0
14468,4.0
81412,1.0
7793,3.0
2149,2.0
25983,5.0
12644,4.0
73748,4.0
35817,5.0
48438,4.0
1704,5.0
50395,3.0
32864,3.0
44828,4.0
54580,3.0
35847,3.0
63287,4.0
41275,5.0
26112,5.0
13523,5.0
15863,3.0
17182,5.0
11986,1.0
30772,5.0
14910,5.0
79642,1.0
14459,1.0
45059,4.0
84907,4.0
33347,5.0
54735,3.0
28268,1.0
73847,1.0
583,4.0
22620,5.0
62914,3.0
86417,4.0
17258,3.0
81019,4.0
47299,1.0
20139,4.0
