,user,movie
3934,270,179
42172,270,922
7302,270,947
16356,270,1077
57401,270,345
72720,270,476
7542,270,1023
26813,270,930
69608,270,272
32732,270,1097
39482,270,1500
9776,270,171
68761,270,773
68905,270,601
87302,270,136
26207,270,1044
80628,270,97
56442,270,1335
42067,270,954
87888,270,986
87779,270,1004
7683,270,63
20406,270,1208
10316,270,715
54235,270,1101
54976,270,1270
68824,270,1102
57334,270,616
55949,270,321
81191,270,1513
58703,270,1502
38809,270,909
58036,270,128
15754,270,981
41414,270,857
58708,270,1433
79279,270,1241
67704,270,460
43840,270,333
15874,270,637
42922,270,349
78509,270,726
81421,270,1149
87550,270,230
55139,270,389
16835,270,178
16205,270,1016
16244,270,44
2172,270,1613
43964,270,301
78923,270,1240
4384,270,622
39268,270,1147
25027,270,36
33393,270,1657
58524,270,1040
68474,270,1030
80516,270,623
70502,270,945
40294,270,1625
42797,270,883
2223,270,1398
42766,270,209
7011,270,249
26937,270,1322
43823,270,199
43647,270,1048
55265,270,964
68600,270,82
16761,270,1110
4849,270,580
16397,270,762
88437,270,456
227,270,88
19962,270,598
39798,270,572
81541,270,1537
69091,270,59
13773,270,1547
69126,270,86
80008,270,1146
53878,270,876
120,270,1339
1776,270,446
67338,270,919
88061,270,996
55750,270,953
78559,270,3
72083,270,505
88352,270,233
15764,270,1246
369,270,1085
53796,270,262
24786,270,643
4573,270,696
43802,270,566
56347,270,1637
49512,270,399
66494,270,1178
74440,270,109
63225,270,397
77230,270,1580
51598,270,1348
60517,270,596
64408,270,455
73398,270,635
48606,270,1034
46610,270,1653
85237,270,390
63352,270,860
48532,270,1349
86675,270,551
21725,270,815
59690,270,1210
8415,270,1399
30941,270,631
34373,270,1113
30553,270,6
9126,270,1289
34393,270,498
82534,270,629
2578,270,1523
15158,270,744
76434,270,1141
75369,270,1204
19542,270,1354
74756,270,200
27494,270,314
5018,270,517
8838,270,1031
77168,270,1602
62986,270,58
44824,270,1509
77949,270,1205
64993,270,206
12975,270,1644
19280,270,527
1571,270,1652
27416,270,658
64428,270,1027
63075,270,312
59444,270,435
45053,270,1005
63123,270,225
48718,270,1474
76833,270,936
19632,270,976
8587,270,780
48666,270,1032
66436,270,1495
81984,270,677
29137,270,7
18758,270,524
23613,270,235
83504,270,642
51671,270,1189
5327,270,1445
9099,270,1379
51759,270,602
8170,270,373
47871,270,1074
14102,270,466
75013,270,621
76742,270,1221
18959,270,27
75003,270,232
5251,270,1234
11599,270,433
73836,270,767
34702,270,413
46212,270,644
82424,270,618
46242,270,924
50630,270,441
64144,270,1507
61310,270,457
18048,270,1565
23685,270,32
36776,270,741
46364,270,55
64029,270,1066
45927,270,975
45894,270,1483
35386,270,987
1453,270,382
73575,270,610
77642,270,653
50799,270,1317
19519,270,1416
27725,270,1497
63685,270,648
1637,270,554
63719,270,1215
12632,270,984
52288,270,1302
11078,270,1415
75195,270,303
35506,270,972
17974,270,829
76525,270,296
84725,270,1295
15008,270,1589
46494,270,92
28867,270,627
47522,270,1176
48023,270,1516
11105,270,50
46490,270,591
63919,270,245
31150,270,1232
47223,270,113
6012,270,461
29631,270,803
37073,270,711
28325,270,1467
66666,270,1356
17853,270,1615
22564,270,422
73016,270,1199
13136,270,380
77106,270,613
84230,270,317
84139,270,95
19705,270,865
29470,270,880
